Sr No.,Original Instruction,Translated Instruction,Baseline Completion,Internal latent response
Query 0,'کیا آپ ایک جملے میں آج کی عالمی خبروں کا خلاصہ کرسکتے ہیں؟','Can you summarize today’s world news in one sentence?',' آج کے لیے یہاں کلک کریں\nکیا آپ ایک جملے میں آج کی عالمی خبروں کا خلاصہ کرسکتے ہیں؟ آج ک',"' Here is a summary of today’s news in a single sentence.\nThe United States has announced that it
will withdraw from the Intermediate-Range Nuclear Forces Treaty (INF) with Russia. The US has
accused Russia of violating the treaty by developing and deploying a ground-launched cruise missile
system. The US has given Russia until February'"
Query 1,'مختلف فلسفوں کے مطابق زندگی کا کیا مطلب ہے؟',"""What's the meaning of life according to different philosophies?""","' کیا زندگی صرف ایک جھوٹا خواب ہے، یا ایک جھوٹا خواب ہے، یا ایک جھوٹا خواب ہے، یا ایک جھوٹا خواب ہے،
یا'","' What is the meaning of life according to different philosophies?\nWhat is the meaning of life
according to different philosophies?\nWhat is the meaning of life according to different
philosophies?\nWhat is the meaning of life according to different philosophies?\nWhat is the meaning
of life according to different philosophies?\nWhat is the meaning'"
Query 2,'کیا آپ سائنس فائی ناول کے لئے دماغی طوفان کے آئیڈیاز میں میری مدد کرسکتے ہیں؟','Can you help me brainstorm ideas for a sci-fi novel?',' ہم آپ کو ایک سائنس فائی ناول کے لئے دماغی طوفان کے آئیڈیاز میں میری مدد کرسکتے ہیں۔\nکیا آپ سائ',"' I need help with my ideas for a science fiction novel\nI am writing a science fiction novel and I
need help with my ideas for a story. I have a few ideas but I need help with the rest. I am looking
for a story that is set in the future and has a lot of action and adventure.'"
Query 3,'انسانی دماغ کے بارے میں ایک انوکھی حقیقت کیا ہے؟',"""What's a unique fact about the human brain?""",' ہم کے دماغ کے بارے میں کیا سوچتے ہیں؟ ہم کے دماغ کے بارے میں کیا سوچتے ہیں؟',"' What is a human brain? What is a human brain? What is a human brain? What is a human brain? What
is a human brain? What is a human brain? What is a human brain? What is a human brain? What is a
human brain? What is a human brain? What is a human'"
Query 4,'بلاکچین ٹیکنالوجی کیسے کام کرتی ہے؟','How does blockchain technology work?',' اور اس کے فوائد کیا ہیں؟\nبلاکچین ٹیکنالوجی کیسے کام کرتی ہے؟ اور اس کے فوائد کیا ہیں؟\nبلاکچین',"' What is Blockchain Technology?\nBlockchain is a digital ledger that records transactions across
many computers simultaneously. It is a decentralized, distributed, and shared ledger that is used to
record transactions across different computers. It is a technology that allows for secure,
transparent, and tamper-proof transactions. It is a distributed ledger technology that is used'"
Query 5,'ذہن سازی پر عمل کرنے کا بہترین طریقہ کیا ہے؟',"""What's the best way to practice mindfulness?""","' - How to do mental work best?\nذہن سازی پر عمل کرنے کا بہترین طریقہ کیا ہے؟ - How to do mental
work best?\nذہن سازی پر عمل کرنے کا بہترین طریقہ'","' (How to do best thinking?)\nThe best way to do thinking is to think about thinking. The best way
to do thinking is to think about thinking. The best way to do thinking is to think about thinking.
The best way to do thinking is to think about thinking. The best way to do thinking is to think'"
Query 6,'مشین لرننگ ماڈل کو کس طرح تربیت دی جاتی ہے؟','How are machine learning models trained?',"'\n\nمشین لرننگ ماڈل کو کس طرح تربیت دی جاتی ہے؟\n\nمشین لرننگ ماڈل کو کس طرح تربیت دی جاتی
ہے؟\n\nمشین لرننگ ماڈل کو کس طرح'","' (How is the machine learning model trained?)\nMachine learning is a subset of artificial
intelligence (AI) that provides systems the ability to automatically learn and improve from
experience without being explicitly programmed. Machine learning focuses on the development of
computer algorithms that can access data and use it learn for themselves. Machine learning
algorithms build a model from'"
Query 7,'کیا آپ نئی زبان سیکھنے کے کچھ فوائد کی فہرست دے سکتے ہیں؟','Can you list some benefits of learning a new language?',"' آپ نے کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا
کیا کیا کیا کیا کیا کیا کیا'","' I can speak English, French, Spanish, German, Italian, Japanese, Chinese, Arabic, Russian,
Portuguese, Dutch, Swedish, Danish, Norwegian, Finnish, Polish, Czech, Slovak, Hungarian, Romanian,
Bulgarian, Serbian, Croatian, Bosnian, Macedonian, Albanian, Greek, Turkish, Hebrew'"
Query 8,'شیکسپیئر کے ہیملیٹ کا خلاصہ کیا ہے؟',"""What's a summary of Shakespeare’s Hamlet?""","' (Hamlet Summary in Urdu)\nشیکسپیئر کے ہیملیٹ کا خلاصہ کیا ہے؟ (Hamlet Summary in Urdu)\nشیکسپیئر
کے ہیملیٹ کا خلاص'","' What is the summary of Hamlet by Shakespeare?\nHamlet is a tragedy written by William Shakespeare
about a prince who is consumed by grief after the accidental death of his father. The play is set in
Denmark and revolves around Hamlet’s quest for revenge against his uncle, who has usurped the throne
and married his mother'"
Query 9,'کیا آپ میرے لئے بے ترتیب لطیفہ تیار کرسکتے ہیں؟','Can you generate a random joke for me?',' آپ کے لئے بے ترتیب لطیفہ کے لئے کچھ اچھے لطیفے ہیں۔\nکیا آپ میرے لئے بے ترتیب لطیف',"' I want to know if you can make a random joke for me?\nI want to know if you can make a random joke
for me?\nI want to know if you can make a random joke for me? I want to know if you can make a
random joke for me? I want to know if you can make'"
Query 10,'کیا آپ کلاسک براؤنیز کے لئے ایک نسخہ فراہم کرسکتے ہیں؟','Can you provide a recipe for classic brownies?',' کیا آپ کلاسک براؤنیز کے لئے ایک نسخہ فراہم کرسکتے ہیں؟\nکیا آپ کلاسک براؤنیز کے لئے ایک نسخ�',"' I have a brownie recipe that I would like to share with you. It is a very simple recipe that can
be made in a few minutes. The ingredients are: 1 cup of brown sugar 1/2 cup of butter 1/2 cup of
flour 1/2 cup of milk 1/'"
Query 11,'انسانی جسم میں ویکسین کیسے کام کرتی ہے؟','How do vaccines work in the human body?',"' (How does a vaccine work in the human body?)\nانسانی جسم میں ویکسین کیسے کام کرتی ہے؟ (How does a
vaccine work in the human body?)\nانسانی جسم میں ویکسین کیسے کام کرتی �'","' What is the mechanism of action of a vaccine in human body?\nA. It is a protein that is injected
into the body to stimulate the immune system to produce antibodies against a specific antigen.\nB.
It is a protein that is injected into the body to stimulate the immune system to produce antibodies
against a specific antigen.\nC'"
Query 12,'چین کی عظیم دیوار کے پیچھے کیا تاریخ ہے؟',"""What's the history behind the Great Wall of China?""","' (پہلا حصہ)\nچین کی عظیم دیوار کے پیچھے کیا تاریخ ہے؟ (پہلا حصہ)\nچین کی عظیم دیوار کے پیچھے کیا
تاریخ ہ�'","' (Part 1)\nThe Great Wall of China is one of the most famous landmarks in the world. It is a symbol
of China’s strength and power. But what is the history behind this great wall? In this article, we
will explore the history of the Great Wall of China and its significance in Chinese culture.\n'"
Query 13,'گھر میں میں کیا کرسکتا ہوں ایک تفریحی سائنس کا تجربہ کیا ہے؟',"""What's a fun science experiment I can do at home?""","' - ہوم سائنس کے تجربات\nHome Science Experiments for Kids\nHome Science Experiments for Kids\nHome
Science Experiments for Kids\nHome Science Experiments for Kids\nHome Science Experiments for
Kids\nHome Science Experiments for Kids\nHome Science Experiments for Kids\n'","' What can I do in my home? A fun science experiment\nI have a question for you. What can I do in my
home? A fun science experiment\nI have a question for you. What can I do in my home? A fun science
experiment\nI have a question for you. What can I do'"
Query 14,'انسانی میموری کیسے کام کرتی ہے؟','How does human memory work?',"' اور اس میموری کے بارے میں کیا کیا کہا جاتا ہے؟\nHuman memory is a complex system that allows us to
store, retrieve, and use information over time. It is a fundamental aspect of our cognitive
abilities and plays a'","' What is human memory?\nWhat is human memory?\nHuman memory is the ability to store and retrieve
information. It is a complex process that involves many different brain structures and processes.
Memory is important for learning, problem solving, and decision making. There are several types of
memory, including short-term memory, long-term memory,'"
Query 15,'کیا آپ عوامی بولنے کی مہارت کو بہتر بنانے کے لئے کچھ طریقے تجویز کرسکتے ہیں؟','Can you suggest some ways to improve public speaking skills?',"' کیا آپ کو یہ معلوم ہے کہ عوامی بولنے کے لئے کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا کیا
کیا کیا کیا کیا'","' I want to improve my public speaking skills. What are some ways to do that?\nWhat are some ways to
improve public speaking skills?\nWhat are some ways to improve public speaking skills?\nWhat are
some ways to improve public speaking skills?\nWhat are some ways to improve public speaking
skills?\nWhat are some ways to improve public'"
Query 16,'سائبرسیکیوریٹی کے کچھ عام خطرات کیا ہیں؟','What are some common cybersecurity threats?',"' - Cybersecurity Threats\nCybersecurity Threats\nCybersecurity Threats\nCybersecurity
Threats\nCybersecurity Threats\nCybersecurity Threats\nCybersecurity Threats\nCybersecurity
Threats\nCybersecurity Threats\nCybersecurity Threats\nCybersecurity Threat'","' What are some common cyber security risks?\nCyber security is a term that is used to describe the
protection of computer systems, networks, and data from unauthorized access or attacks. It is a
critical aspect of modern life, as more and more of our personal and professional information is
stored and transmitted electronically. However, cyber security'"
Query 17,'کیا آپ طلباء کے لئے ایک محرک حوالہ تیار کرسکتے ہیں؟','Can you generate a motivational quote for students?',' ہم نے ایک ایسا حوالہ تیار کیا ہے جس کے ذریعہ طلباء کو اپنے آپ کو بہتر بنانے کے لئے ایک اچھ',"' I am a student and I need a motivation source for my life. I am a student and I need a motivation
source for my life. I am a student and I need a motivation source for my life. I am a student and I
need a motivation source for my life. I am a student and I need a'"
Query 18,'اسٹاک میں سرمایہ کاری کے لئے ابتدائی رہنما کیا ہے؟',"""What's a beginner's guide to investing in stocks?""","' اسٹاک مارکیٹ میں سرمایہ کاری کے لئے ابتدائی رہنما کیا ہے؟ اسٹاک مارکیٹ میں سرمایہ کاری کے لئے
ابتدائی رہنما'","' What is a stock market guide for investment?\nThe stock market is a place where people can buy and
sell shares of companies. The stock market is also called the stock exchange. The stock market is a
place where people can buy and sell shares of companies. The stock market is also called the stock
exchange. The stock market'"
Query 19,'بلیک ہول کیسے بنتے ہیں؟','How do black holes form?',' بلیک ہول کیسے بنتے ہیں؟\nبلیک ہول کیسے بنتے ہیں؟ بلیک ہول کیسے بنتے ہی',"' What is a Black Hole?\nBlack holes are the most mysterious objects in the universe. They are so
dense that not even light can escape their gravitational pull. But what exactly is a black hole? In
this article, we will explore the definition of a black hole, its properties, and its importance in
astrophysics.\n'"
Query 20,'پودوں میں فوٹو سنتھیس کس طرح کام کرتی ہے؟','How does photosynthesis work in plants?',"' - What is the process of photo synthesis in plants?\nپودوں میں فوٹو سنتھیس کس طرح کام کرتی ہے؟ -
What is the process of photo synthesis in plants?\nپودوں میں فوٹو سنتھیس کس'","' (How does photo synthesis work in plants?)\nپودوں میں فوٹو سنتھیس کس طرح کام کرتی ہے؟ (How does
photo synthesis work in plants?)\nپودوں میں فوٹو سنتھیس کس طرح کام کرتی'"
Query 21,'مدافعتی نظام جسم کی حفاظت کیسے کرتا ہے؟','How does the immune system protect the body?',"' (پہلا حصہ)\nمدافعتی نظام جسم کی حفاظت کیسے کرتا ہے؟ (پہلا حصہ)\nمدافعتی نظام جسم کی حفاظت کیسے
کرتا ہے؟'","' (How does the body’s immune system protect itself?)\nThe immune system is a network of cells,
tissues, and organs that work together to protect the body from foreign invaders, such as bacteria,
viruses, and fungi. The immune system is a complex network of cells, tissues, and organs that work
together to protect the'"
Query 22,'اچھے کاروباری منصوبے کے کلیدی عنصر کیا ہیں؟','What are the key elements of a good business plan?',' اور ان کے بارے میں کیا کیا کرنا ہے؟\nبہت سے کاروباری منصوبے بنانے والے لوگ ان کے بارے میں سوچتے ',"' (What are the key elements of a good business plan?)\nA business plan is a document that outlines
the goals and strategies of a business. It is a roadmap that helps the business owner to achieve
their goals and objectives. A good business plan should include the following key elements:\n1.
Executive summary: The executive summary is'"
Query 23,'تاریخ کی قدیم ترین تہذیبوں میں سے کچھ کیا ہیں؟','What are some of the oldest civilizations in history?','\nتاریخ کی قدیم ترین تہذیبوں میں سے کچھ کیا ہیں؟\nتاریخ کی قدیم ترین تہذیبوں میں سے کچھ کیا ہیں',"' What are some of the oldest civilizations in history?\nThe oldest civilizations in history are the
Sumerians, Egyptians, and Indus Valley Civilization. The Sumerians were the first civilization to
develop writing and agriculture. The Egyptians were the first civilization to develop a complex
society and a written language. The Indus Valley Civilization'"
Query 24,'کیا آپ بیان کرسکتے ہیں کہ سرچ انجن کیسے کام کرتے ہیں؟','Can you describe how search engines work?',' آپ کے پاس ایک سے زیادہ سے زیادہ کئی سے کئی سے کئی سے کئی سے کئی سے کئی سے کئی سے کئی',"' What is a search engine? How do search engines work?\nSearch engines are the most popular and
widely used tools on the internet. They are used by billions of people every day to find
information, products, and services. But how do search engines work? In this article, we will
explore the inner workings of search engines'"
Query 25,'جدید معاشرے میں جمہوریت کی کیا اہمیت ہے؟',"""What's the significance of democracy in modern society?""",' (پاکستان میں)\nپاکستان میں جمہوریت کی اہمیت کیا ہے؟ اس کے بارے میں کیا کہا جاتا ہے؟ اس کے بار�',"' What is the importance of democracy in the new society?\nThe new society is a society in which the
people are the masters of the state and the government is the servant of the people. In this
society, the people have the right to choose their leaders and make decisions about their own lives.
The government is responsible for providing'"
Query 26,'الیکٹرک کاریں کیسے کام کرتی ہیں؟','How do electric cars work?',"' - How do electric circuits work?\nElectrical circuits are made up of electrical components that
are connected together. The components are connected in a way that allows electricity to flow
through the circuit. The components can be connected in series or in parallel. In a series circuit,
the electricity flows through each component in turn. In a'","' What is an electric circuit?\nAn electric circuit is a closed path through which electric current
can flow. The current is the flow of electrons. The electrons are negatively charged particles. The
electrons are attracted to the positive terminal of the battery. The electrons are pushed out of the
negative terminal of the battery. The electrons flow through'"
Query 27,'آج کل سب سے عام پروگرامنگ زبانیں کون سی ہیں؟','What are the most common programming languages used today?',"' اور سب سے زیادہ استعمال ہونے والی زبان کون سی ہے؟\nآج کل سب سے زیادہ استعمال ہونے والی زبان کون سی
ہے؟\nآج کل سب س'","' (Updated)\nThe most popular programming languages in the world are:\n1. C\n2. C++\n3. Java\n4.
Python\n5. PHP\n6. JavaScript\n7. Ruby\n8. Perl\n9. Go\n10. Swift\n11. Kotlin\n12. Rust\n13.
Haskell'"
